Colour;Match;Link;;;;;;;;
Admiral;Gold Brown Tortilla Grey Cloud;https://i.pinimg.com/564x/f2/5c/73/f25c7323b17b62b57dadd75cc45a9ded.jpg;;;;;;;;
Almond;Latte Sepia Sand;https://i.pinimg.com/564x/b5/62/18/b56218f15970f94662f1f898494b7e3e.jpg;;;;;;;;
Amethyst;Lavander Lilac Iris Orchid Sky;https://i.pinimg.com/564x/a6/e8/8b/a6e88b0f564cf9a0f1c4dc13eb18a04c.jpg;;;;;;;;
Apricot;Cream Beige Bone Salmon Alabaster;https://i.pinimg.com/564x/ec/a0/65/eca0659140649bdc4202fcc7fd536fd2.jpg;;;;;;;;
Azure;Blue  Cream Sand Sky;https://i.pinimg.com/564x/a7/01/75/a7017577ae00a70495d923a3b78236f5.jpg;;;;;;;;
Banana;"Fuscia Grey Brown Red Gold Admiral	Purple";https://i.pinimg.com/564x/26/aa/ab/26aaabf852ec8755649d25f8b860fbd9.jpg;;;;;;;;
Banana;Lime Chartreuse Pear Lemon Honey;https://i.pinimg.com/564x/21/0c/cd/210ccd29b1fcedef462caa87f81f03a6.jpg;;;;;;;;
Beige;Timberwolf Lavander Purple Violet;https://i.pinimg.com/564x/6c/20/3c/6c203c968f55aa4fe521ed5d324be4e6.jpg;;;;;;;;
Black;Orange Pink Chartreuse White Red Yellow;https://i.pinimg.com/564x/7c/1e/f9/7c1ef9569e42454b4b3443145dae9e30.jpg;;;;;;;;
Blue;Red Grey Browm Orange Pink White Yellow;https://i.pinimg.com/564x/26/9d/6d/269d6dd56052a93beafd708ee2e521a3.jpg;;;;;;;;
Blush;Watermelon Peach Beige Eggplant Salmon;https://i.pinimg.com/564x/c5/d8/dc/c5d8dcc92ae800951f3dae3c1a96ff96.jpg;;;;;;;;
Bone;Beige Blush Salmon Sky Cream Sapphiere ;https://i.pinimg.com/564x/ac/c7/58/acc7587f762631e3fcb4a0f4a4e461af.jpg;;;;;;;;
Brown;Arctic Cream Pink Blonde Green Cream;https://i.pinimg.com/564x/f7/21/12/f7211290ebd52d076bb6a0b9f784f9aa.jpg;;;;;;;;
Bubble Gum;Mint Sky Blush Peach Pink;https://i.pinimg.com/564x/32/c6/cc/32c6cc941a13d2fadacf6092ab7266ad.jpg;;;;;;;;
Charcoal;Salmon Blush Cream Eggplant;https://i.pinimg.com/564x/f0/8f/2b/f08f2b09fcd029c5b3fbf9accaa3c7b1.jpg;;;;;;;;
Chartreuse;"Dijon Blonde	 Grey Admiral Red Grey Brown";https://i.pinimg.com/564x/7f/a6/3c/7fa63c02a1bca55987991b11b7cb3fe8.jpg;;;;;;;;
Cherry;Cerulean Grey Honey Sand Banana Cream;https://i.pinimg.com/564x/63/65/07/6365077be80e269e337beab6645336cb.jpg;;;;;;;;
Chocolate;Lemon Sky Mint Boysenberry Lime;https://i.pinimg.com/564x/62/8f/86/628f86e40d3c5120adc95687daa9e019.jpg;;;;;;;;
Cinnamon;Banana Cream Admiral Green Sangria Red;https://i.pinimg.com/564x/b8/77/a6/b877a6a39e96eae248f1b17bf6ec8757.jpg;;;;;;;;
Coffee;Bone Rice Rosewood Smoke;https://i.pinimg.com/564x/9b/2d/d7/9b2dd7e891cdb8a87af154ed515312f2.jpg;;;;;;;;
Coral;Azure Salmon Peach Cream;https://i.pinimg.com/564x/04/07/2f/04072ff8fa260d60b91322d8fb3b9286.jpg;;;;;;;;
